choice,nbhd_median_income,rentgrs,nbhd_mean_hhsize,nearby_median_income,nearby_mean_hhsize,singleFamily
05914_MF,95400.0,1746.7391304347825,2.4160671462829684,53200.0,3.085518814139113,False
05914_SF,95400.0,2382.8571428571427,2.416067146282977,53200.0,3.085518814139108,True
05915_MF,154500.0,2071.9761904761904,2.869565217391301,72500.0,2.418439716312055,False
05915_SF,154500.0,3096.5555555555557,2.869565217391304,72500.0,2.418439716312057,True
05916_MF,70800.0,1446.7835051546392,3.8966292134831506,52700.0,3.057385759829969,False
05916_SF,70800.0,1958.888888888889,3.89662921348315,52700.0,3.057385759829969,True
05917_MF,79550.0,1409.3589743589744,3.2764227642276316,57840.0,3.1278772378516497,False
05917_SF,79550.0,1602.514705882353,3.276422764227645,57840.0,3.127877237851663,True
05918_MF,99970.0,1815.614973262032,2.5070422535211345,52000.0,3.303344867358714,False
05918_SF,99970.0,2245.0394736842104,2.507042253521123,52000.0,3.3033448673587045,True
